H,N,F,S,Nickname,Mass,z,m/z,condition
7,11,0,1,H7N11F0S1,3677.348965,3,1298.183922,3H
7,6,1,4,H7N6F1S4,3681.296065,3,1299.499622,3H
7,6,3,3,H7N6F3S3,3682.316465,3,1299.839755,3H
7,6,5,2,H7N6F5S2,3683.336865,3,1300.179888,3H
9,8,2,1,H9N8F2S1,3684.332165,3,1300.511655,3H
8,6,0,4,H8N6F0S4,3697.290965,3,1304.831255,3H
5,7,4,3,H5N7F4S3,3707.348165,3,1308.183655,3H
9,11,0,0,H9N11F0S0,3710.359165,3,1309.187322,3H
6,7,1,4,H6N7F1S4,3722.322665,3,1313.175155,3H
6,7,3,3,H6N7F3S3,3723.343065,3,1313.515288,3H
6,7,5,2,H6N7F5S2,3724.363465,3,1313.855422,3H
7,7,0,4,H7N7F0S4,3738.317565,3,1318.506788,3H
7,7,2,3,H7N7F2S3,3739.337965,3,1318.846922,3H
7,7,4,2,H7N7F4S2,3740.358365,3,1319.187055,3H
6,5,4,4,H6N5F4S4,3754.337565,3,1323.846788,3H
8,7,1,3,H8N7F1S3,3755.332865,3,1324.178555,3H
8,7,3,2,H8N7F3S2,3756.353265,3,1324.518688,3H
6,8,2,3,H6N8F2S3,3780.364565,3,1332.522455,3H
7,8,1,3,H7N8F1S3,3796.359465,3,1337.854088,3H
8,8,0,3,H8N8F0S3,3812.354365,3,1343.185722,3H
7,6,2,4,H7N6F2S4,3827.353965,3,1348.185588,3H
7,6,4,3,H7N6F4S3,3828.374365,3,1348.525722,3H
9,8,1,2,H9N8F1S2,3829.369665,3,1348.857488,3H
6,7,4,3,H6N7F4S3,3869.400965,3,1362.201255,3H
7,7,1,4,H7N7F1S4,3884.375465,3,1367.192755,3H
7,7,3,3,H7N7F3S3,3885.395865,3,1367.532888,3H
7,7,5,2,H7N7F5S2,3886.416265,3,1367.873022,3H
8,7,0,4,H8N7F0S4,3900.370365,3,1372.524388,3H
8,7,4,2,H8N7F4S2,3902.411165,3,1373.204655,3H
6,8,3,3,H6N8F3S3,3926.422465,3,1381.208422,3H
7,8,0,4,H7N8F0S4,3941.396965,3,1386.199922,3H
6,11,1,2,H6N11F1S2,3952.449465,3,1389.884088,3H
6,6,4,4,H6N6F4S4,3957.416965,3,1391.539922,3H
7,11,0,2,H7N11F0S2,3968.444365,3,1395.215722,3H
7,6,3,4,H7N6F3S4,3973.411865,3,1396.871555,3H
9,8,0,3,H9N8F0S3,3974.407165,3,1397.203322,3H
7,6,5,3,H7N6F5S3,3974.432265,3,1397.211688,3H
8,11,1,1,H8N11F1S1,3985.459665,3,1400.887488,3H
6,7,5,3,H6N7F5S3,4015.458865,3,1410.887222,3H
7,7,2,4,H7N7F2S4,4030.433365,3,1415.878722,3H
7,7,4,3,H7N7F4S3,4031.453765,3,1416.218855,3H
8,7,1,4,H8N7F1S4,4046.428265,3,1421.210355,3H
8,7,3,3,H8N7F3S3,4047.448665,3,1421.550488,3H
7,10,4,1,H7N10F4S1,4058.501165,3,1425.234655,3H
7,8,1,4,H7N8F1S4,4087.454865,3,1434.885888,3H
9,10,4,0,H9N10F4S0,4091.511365,3,1436.238055,3H
8,8,0,4,H8N8F0S4,4103.449765,3,1440.217522,3H
10,10,3,0,H10N10F3S0,4107.506265,3,1441.569688,3H
7,6,4,4,H7N6F4S4,4119.469765,3,1445.557522,3H
7,7,3,4,H7N7F3S4,4176.491265,3,1464.564688,3H
7,7,5,3,H7N7F5S3,4177.511665,3,1464.904822,3H
8,7,2,4,H8N7F2S4,4192.486165,3,1469.896322,3H
8,7,4,3,H8N7F4S3,4193.506565,3,1470.236455,3H
5,11,2,3,H5N11F2S3,4227.549965,3,1481.584255,3H
6,11,1,3,H6N11F1S3,4243.544865,3,1486.915888,3H
8,8,3,3,H8N8F3S3,4250.528065,3,1489.243622,3H
9,8,0,4,H9N8F0S4,4265.502565,3,1494.235122,3H
7,6,5,4,H7N6F5S4,4265.527665,3,1494.243488,3H
9,8,4,2,H9N8F4S2,4267.543365,3,1494.915388,3H
7,7,4,4,H7N7F4S4,4322.549165,3,1513.250655,3H
8,7,3,4,H8N7F3S4,4338.544065,3,1518.582288,3H
9,8,1,4,H9N8F1S4,4411.560465,3,1542.921088,3H
8,9,1,4,H8N9F1S4,4452.587065,3,1556.596622,3H
10,11,4,0,H10N11F4S0,4456.643565,3,1557.948788,3H
7,7,5,4,H7N7F5S4,4468.607065,3,1561.936622,3H
8,7,0,6,H8N7F0S6,4482.561165,3,1566.587988,3H
8,7,4,4,H8N7F4S4,4484.601965,3,1567.268255,3H
9,8,0,5,H9N8F0S5,4556.597965,3,1591.266922,3H
9,8,2,4,H9N8F2S4,4557.618365,3,1591.607055,3H
8,7,1,6,H8N7F1S6,4628.619065,3,1615.273955,3H
10,9,0,4,H10N9F0S4,4630.634765,3,1615.945855,3H
10,9,4,2,H10N9F4S2,4632.675565,3,1616.626122,3H
8,9,1,5,H8N9F1S5,4743.682465,3,1653.628422,3H
6,11,3,4,H6N11F3S4,4826.756065,3,1681.319622,3H
9,8,0,6,H9N8F0S6,4847.693365,3,1688.298722,3H
11,10,3,2,H11N10F3S2,4851.749865,3,1689.650888,3H
10,9,4,3,H10N9F4S3,4923.770965,3,1713.657922,3H
